DsWrocWie;KpCiechoTezniowa;LdLodzWSSEMWodna40;MpKrakowWIOSAKra6117;MpKrakowWIOSPrad6115;MzWarszKrucza;PkPrzemWIOSDolin
0;0;0;135,9;130;0;153
0;0;0;129,1;116;0;0
37,9;25;55;41,2;33;35,6;44
21,6;0;44;36,4;26;37,4;0
44,4;12;42;33,9;24;26,4;38
72,6;0;47;57,2;43;76,6;0
81,2;72;92;92,5;77;0;40
51,3;0;71;91,5;79;42,3;0
81,5;35;0;59,5;41;0;56
35,7;0;56;48,6;35;53,3;0
77,4;48;78;91,2;58;73;136
81,8;0;110;76,6;65;96,3;0
64,7;62;96;114,4;96;15,9;112
102,9;0;77;131,3;106;0;0
0;43;74;58,2;0;15,9;95
0;0;0;46,4;0;0;0
10,8;7;27;16,4;0;22,1;34
21,9;0;21;15;13;53,3;0
22,5;12;25;14,8;14;53,3;34
15,1;0;20;18,4;14;0;0
83,3;28;27;15,2;13;0;63
54,8;0;63;30;23;0;0
78;149;0;40,1;36;0;32
43,8;0;75;105,2;85;0;0
38,8;33;51;58,5;50;39,2;88
31,3;0;0;29,6;26;35,6;0
30,4;24;47;26,1;20;38,6;56
42,3;0;47;27,7;20;0;0
0;21;26;25,1;12;49,1;50
0;0;0;11,8;11;0;0
21;13;29;18,4;13;17,2;21
29,5;31;36;36;25;30;50
22,8;0;32;48,7;40;22,1;0
17,1;30;25;20,5;14;27;26
23,5;0;29;34,2;17;0;0
41,6;20;48;18,8;15;17,2;42
85,3;0;0;63,3;54;0;0
32,1;25;44;87,7;69;36,2;66
24,9;0;29;37,5;17;26,4;0
17;13;29;26,9;15;22,1;44
32,4;0;47;40,9;25;25,8;0
37,4;28;53;52,1;48;0;0
0;0;47;70,1;64;30,7;0
0;13;0;31,9;18;0;51
25,4;0;39;20,9;11;35,6;0
29,7;20;48;45,2;17;36,8;47
24,2;0;39;41,8;25;35,6;0
24;24;45;51,5;38;44,1;41
53;0;75;55,6;44;0;0
27,5;45;56;59,4;54;26,4;72
20;0;0;41,3;28;0;0
36,8;37;61;35,7;25;34,9;56
48,7;0;78;65,4;36;50,9;0
71,3;70;133;75,4;62;45,4;92
32,8;0;60;79,4;51;28,2;0
22,5;12;38;29,2;15;0;57
0;0;44;34;20;39,9;0
0;24;0;60;43;0;0
44,6;0;50;69,6;44;51,5;0
55,6;32;67;83,8;58;34,7;72
29,9;21;35;51,2;33;26;67,4
33,2;0;37;32,1;26;22,3;0
16,1;17;26;36,5;22;0;48,23
17,8;0;21;25,8;17;40,3;0
17,6;13;0;16;15;0;74,18
32,4;0;33;31,8;17;19,2;0
29,1;12;24;28,8;17;12,4;46,42
4,7;0;24;18,3;12;22,3;0
10,2;12;18;11;8;45,9;14,92
17,8;0;37;21;15;0;0
0;27;38;28;21;39,1;29,05
0;0;0;23,3;15;0;0
35,8;34;55;47,5;47;29,8;87,35
15,9;0;38;36,4;29;0;0
16;19;23;17,8;12;34,7;26,34
20,5;0;35;28;19;44,6;0
20,9;16;19;30,9;24;0;36,88
27;0;41;20,5;12;23,6;0
27,7;27;0;23,6;20;0;41,44
27,1;0;43;39,6;29;42,8;0
30,7;30;48;50,8;37;47,7;69,88
63,3;0;77;61,5;45;47,1;0
91,2;25;57;74,9;56;40,9;82,58
2,6;0;38;50,6;32;0;0
0;55;67;61,8;46;55,2;140,65
0;0;0;56,7;41;0;0
31,8;39;59;48,9;33;60,1;76,91
65,1;0;70;48,8;25;36;0
25,7;12;48;47,8;29;32,9;58,89
21,5;0;45;41,4;28;40,3;0
30,7;21;38;34,3;21;0;35,2
55,7;59;67;31;19;44;0
48,6;0;0;29,9;23;0;0
45,8;21;35;51;32;47,7;60,98
62,4;0;80;62,2;45;47,7;0
45,9;20;51;46,3;31;37,2;42,06
32,6;0;49;24,2;21;24,8;0
19,6;19;37;32,5;23;0;39,33
0;0;46;23,9;16;22,9;0
0;18;0;38,4;31;0;84,86
0;0;40;55,7;36;41,5;0
0;52;51;59,7;42;42,8;100,06
0;0;26;44,6;27;25,4;0
0;31;34;33,3;18;19,2;47,02
34,7;0;28;42,1;26;0;0
27,8;38;48;57,1;39;24,8;132,08
20,8;0;0;30,5;21;0;0
40,4;45;86;48,8;33;29,1;87,65
40,9;0;63;51;37;55,2;0
51,8;43;82;84,8;53;79,4;141,8
58,2;0;78;68,1;51;75,9;0
0;0;110;57,6;45;0;0
0;0;57;52,3;42;50,8;0
0;0;0;31,7;33;0;0
0;0;0;40,7;30;0;0
18,4;33;46;41,6;24;37,2;54,82
51,1;0;69;44,8;28;35,3;0
41,6;78;33;42,6;40;42,2;69,95
0;0;39;40,4;30;0;0
0;0;37;50,1;31;58,9;86,87
0;0;0;37,2;23;0;0
0;0;0;33,3;21;0;63,47
0;0;30;30,6;22;0;0
0;0;30;29,8;19;0;76,52
55,1;0;81;40,5;28;52,7;0
45,6;44;49;51,8;35;0;80,98
47,1;0;32;52,2;44;54,6;0
38,4;38;0;39,2;24;0;66,73
43,3;0;40;48,8;26;42,8;0
50,9;46;53;56,2;38;55,2;79,45
54,8;0;61;46,9;31;68,8;0
38,2;32;43;45,2;35;71,3;64,79
26,5;0;26;34,8;23;0;0
36,4;34;29;28,2;19;41,5;47,32
33,2;0;0;30,9;19;0;0
43,7;31;67;36,8;37;25,4;15,14
39,8;0;52;43,8;0;57,7;0
35,4;17;64;44,4;0;62;0
21,3;0;38;43,7;0;49,6;0
36;22;40;26,9;18;0;42,04
11,5;0;0;22,2;13;36;0
18;8;0;18,2;11;0;24,3
12,4;0;31;30,2;16;40,9;0
24;25;30;33,1;15;45,3;29,13
32,4;0;42;40,6;26;47,7;0
20,2;40;37;48,6;29;44,6;50,65
26,6;0;37;42,2;22;0;0
40,3;35;41;44,2;28;35,3;59,71
27,2;0;0;34,5;26;0;0
15,2;37;18;23,1;15;29,1;24,49
0;0;22;26,2;17;22,3;0
27,2;42;26;43,3;20;34,1;29,38
20;43;29;27;14;30,4;29,13
27,9;0;38;36,6;21;0;0
35,4;25;32;48,9;0;33,5;48,45
26,1;0;0;35,8;0;0;0
25,1;30;36;42,2;34;34,1;55,62
17,8;0;28;48,8;32;34,7;0
14,8;28;27;25,2;14;32,2;26,04
22,4;0;40;28,3;15;38,4;0
27,6;41;30;38,7;15;0;55,61
