DsJelw05;DsWrocWie;KpCiechoTezniowa;KpWloclSielska;LbBialaPOrzechowa;LdLodzWSSEMWodna40;MpKrakowWIOSAKra6117;MpKrakowWIOSPrad6115;MzWarszKrucza;PkPrzemWIOSDolin
6;0;0;0;0;0;22,9;15;0;80,93
6;48,9;37,8;0;0;49;0;0;50,2;0
10;63,7;50,8;0;26;87;60,1;0;68,8;124,77
6;74,4;34,3;0;0;67;35,3;32,5;44;0
4;32,3;44,1;0;12;53;37,8;31,9;0;85,26
8;0;62;0;0;44;35,6;35,1;41,5;0
6;0;0;0;38;0;51;29,7;0;68,82
6;0;0;0;0;50;32,9;21,3;40,3;0
5;36;32,2;20,6;23;55;19,6;14,9;52,1;0
5;57;0;0;0;53;34,2;28,6;41,5;0
6;43;16,7;47,1;23;37;38,7;36,1;23,6;62,18
5;31;0;0;0;45;20,3;13,4;0;0
4;36,9;32,5;0;23;69;27,8;20;21,1;54,04
4;40,7;0;0;0;0;42,8;35,1;0;0
6;59,1;22,6;38,3;21;59;58,5;40,1;54,6;111,64
8;87,6;0;0;0;48;27,1;23,3;56,4;0
11;129,6;36,8;50,3;19;55;37,6;28,3;48,4;163,06
11;103,6;0;0;0;69;49,7;34,3;44,6;0
19;170;38;0;20;63;53,3;0;0;129,99
18;147,7;0;0;0;92;67,2;0;58,9;0
19;100,3;19,8;0;27;0;45,1;0;0;130,95
11;76,1;0;0;0;53;31;0;53,3;0
6;44;53;58,4;22;60;38,5;23,1;49;104,3
4;37,1;0;0;0;39;29,5;16,1;39,1;0
5;44,7;46,4;28,8;16;50;35,2;24,9;49,6;70,99
5;53,1;0;0;0;62;30,4;28,6;0;0
2;26,4;61,1;0;17;55;42,8;33,1;56,4;43,9
5;53,8;0;0;0;0;26,9;22;0;0
7;40,2;32,2;16,3;34;64;57;40;50,8;119,29
4;55,4;0;0;0;57;22,6;19,8;46,5;0
7;46,5;35,9;12,3;14;52;15,6;9,2;21,1;0
7;30,6;40,7;0;15;49;15,1;10,7;34,7;64,24
4;43,8;0;0;0;56;24,5;19,1;0;0
5;59,1;94,5;0;31;64;28;22,1;42,8;146,65
9;91,1;0;0;0;0;38,3;24,4;0;0
8;29,4;55,8;28,9;20;52;47,7;38,1;50,8;108,25
5;30,9;0;0;0;43;27,9;17,9;48,4;0
3;56,2;54,3;26,7;20;75;55,4;42,9;60,8;56,79
4;85,8;0;0;0;97;64;40,1;74,4;0
9;36;40;0;34;65;40,4;28,9;0;65,38
5;48,2;0;0;0;48;18,9;13,7;59,5;0
5;56,3;37;0;11;0;26,3;26,6;0;64,13
5;44,6;0;0;0;51;61,6;42,5;42,2;0
8;28,8;26;23,6;18;40;30,9;22,9;24,2;47,53
3;35,3;0;0;0;49;31,8;21,7;45,3;0
3;54,8;40,6;36,7;24;78;36,8;51,8;58,9;113,12
6;74,8;0;0;0;80;51;93,5;0;0
11;31,7;24,3;0;27;41;48;76,5;71,9;107,93
6;21,9;0;0;0;0;15,8;23,5;0;0
4;28,2;22,9;24,5;21;43;15,6;16,4;53,9;41,56
4;17,3;0;0;0;39;18,1;18,2;27,9;0
3;16,2;18,8;16,7;14;25;9,7;12,6;33,5;0
4;18,2;0;0;0;31;10,9;14,5;22,3;0
6;41,6;19,2;0;20;38;25,1;23,2;0;73,52
5;36,3;0;0;0;59;21,7;43;57;0
4;48,8;35,6;0;29;0;35,4;58,5;0;110,24
5;35,6;0;0;0;79;57,1;95,8;71,9;0
5;10,7;19,2;28,6;38;62;43,8;61,7;59,5;104,53
4;46,8;0;0;0;61;37,1;51,8;63,2;0
4;59,7;53,2;61,4;18;84;61,5;49,7;66,3;103,6
4;56;0;0;0;83;57,3;50,7;0;0
6;64,2;39,1;0;26;81;45,3;42,8;45,3;106,76
7;42,9;0;0;0;0;76,8;64,8;0;0
10;33,2;57,6;41,6;18;62;0;0;63,2;43,93
3;87,6;0;0;0;82;61,6;27,7;88,7;0
6;57,6;71,4;64,9;32;64;74,5;58,6;45,3;102,96
5;59;0;0;0;60;70,2;63,2;46,5;0
6;60,2;57,8;0;23;74;73,8;63,6;0;34,48
6;35,8;0;0;0;56;62,5;45,6;67,6;0
3;23,2;34,1;0;26;0;50,1;34,1;0;0
3;0;0;0;0;51;65;44,2;42,8;0
2;26;42,8;26,3;15;37;45,2;31,1;40,9;46,73
4;27,5;0;0;0;32;36,3;23,3;31;0
7;52,4;33,9;24,7;23;39;37,3;31;34,1;55,65
4;34,5;0;0;0;40;41,2;24;0;0
4;17,3;22;0;27;31;33,5;25,7;31;62,75
6;51;0;0;0;0;26,7;20,4;0;0
12;20,5;28,7;16,6;12;25;51,6;26,3;28,5;33,46
2;30,3;0;0;0;27;22,1;30,4;42,2;0
5;41,6;30,2;33,7;36;52;40,6;22,8;38,4;53,74
5;65,1;0;0;0;48;45;27;42,8;0
9;56,8;16,7;0;13;45;58,9;35,1;0;96,05
5;0;0;0;0;35;51,3;39,4;28,5;0
4;0;15,8;0;8;0;29,2;19,7;0;33,04
4;0;0;0;0;39;29,9;14,9;29,1;0
8;0;36,5;29,2;14;48;34,8;18,5;33,5;36,02
16;41,8;0;0;0;32;32,6;25;39,7;0
8;63,7;37,6;21,5;15;34;39,7;36,2;34,1;72,02
7;41,1;0;0;0;49;56,2;26,5;40,3;0
5;24,9;27,2;0;14;86;66,7;49,6;0;0
6;62,9;37,6;0;24;0;63,2;51,8;0;0
4;59,1;0;0;0;84;72;55,8;40,3;0
6;39,6;47,1;29;17;65;83,6;67;90,5;105,52
5;32,6;0;0;0;66;65;50,9;37,2;0
6;14,7;30,3;18;22;63;47;36,6;36;54,52
7;0;0;0;0;50;46,7;33,8;0;0
5;0;34,8;0;16;41;32,4;24,2;0;0
3;0;0;0;0;0;28,7;30,1;37,2;0
5;0;30,9;21;20;37;20,1;11,4;21,1;51,94
16;0;0;0;0;36;35;16,1;20,5;0
22;0;35,3;29;12;46;39,1;13,4;39,7;49,71
6;0;0;0;0;26;50,5;26,3;26;0
3;0;16,4;0;12;16;29,2;18,3;40,3;25,44
4;0;0;0;0;28;21;20,5;0;0
3;0;16,4;0;7;0;23,1;15,3;0;30,13
4;0;0;0;0;0;23,2;10,4;0;0
6;23,8;35,8;17;23;48;34,9;25,7;33,5;48,79
3;18,9;0;0;0;37;44,6;48,6;42,2;0
5;43,5;44,1;20;15;35;48,5;39,8;31;54,56
6;24,2;0;0;0;37;45,4;29,4;0;0
7;3,9;19,6;0;15;33;23,6;0;0;90,63
2;4,6;0;0;0;0;19;0;45,3;0
4;33;26,3;21;14;47;40,1;0;33,5;27,31
8;46,2;0;0;0;35;29,6;22,9;24,2;0
30;33,5;30,5;30;11;46;36;17,7;42,8;26,36
13;23;0;0;0;39;38,8;20,1;30,4;0
8;0;31,2;0;14;59;35,4;27,5;0;52
14;0;0;0;0;29;37,8;28,8;37,2;0
22;0;19,7;0;10;0;34,1;21;0;50,04
31;0;0;0;0;35;38,9;34;29,1;0
29;0;0;0;0;0;41,9;30,5;0;57,12
18;0;0;0;0;20;38,2;0;19,2;0
23;0;29;0;11;0;28;0;0;49,06
36;0;0;0;0;37;41,3;0;29,8;0
28;0;29,6;0;19;34;37,2;0;0;62,26
