DsJelw05;DsWrocWie;KpCiechoTezniowa;KpWloclSielska;KpWolice;LbBialaPOrzechowa;LbDorohWIOS;LbLublinPiel;LbLublin_Sliwins_5;LbZamoscHrubieszowsk;LdLodzWSSEMWodna40;MpKrakowWIOSAKra6117;MzWarszKrucza;PdLomzaKopernika16;PdSuwPulaski;WpPila5710111;ZpSzczWSSESped6
15;0;21,7;0;4;0;9,2;23;25,1;0;0;29,2;12,8;34,2;0;0;0
11;21,4;0;0;6,9;0;13,1;22;20;0;0;19,1;20,1;0;0;22;62
20;102,1;140,2;0;6,2;61;21;84;30,8;88,3;0;65,3;21,9;117,2;67,7;0;31
50;135,4;0;0;4,4;0;25,8;84;64;123,8;0;257;65,8;0;0;0;0
33;36;53,2;0;0;48;16,7;84;76,9;129,6;0;138,2;107,9;92;40,8;156;0
16;20,5;0;0;0;0;16,3;43;39,6;0;0;73,6;34,8;0;0;0;0
7;41,2;39,2;32,5;24;43;26,7;62;32,3;0;0;93,3;76,8;99,1;31,4;65;89
9;24,6;0;0;18,5;0;18,2;50;47,9;0;0;88,3;27,4;0;0;0;29
17;45;36,2;26,5;28,7;19;18,2;30;24,9;0;0;85,8;29,3;66;24,1;28;7
31;62,8;0;0;14,9;0;24,1;29;30;0;0;120,4;40,2;0;0;0;41
24;92,5;54,3;0;54,8;33;24,5;68;43,3;0;0;110,1;23,8;64;45;0;0
19;0;0;0;0;0;19,2;120;67,8;0;0;177,9;100,6;0;0;113;0
29;0;54,5;0;0;27;9,9;57;79,4;39,8;0;169,9;32,9;92;97,1;0;0
37;61,5;0;0;40,7;0;10,3;27;30,3;33,1;0;72,1;80,5;0;0;65;88
44;77,7;0;110,4;62,1;26;16,3;54;39,5;51,9;0;128,9;34,8;120;47,5;0;65
28;90,8;0;0;94,4;0;15,2;59;55,4;0;0;195,1;122,6;0;0;64;109
23;86,1;0;54,1;56,7;50;14,1;69;55,6;0;0;114,2;64;215,6;139,8;0;0
19;60,4;0;0;49,7;0;22,4;80;56,6;0;0;141,2;87,8;0;0;0;0
16;38,4;0;0;0;0;20;69;62;0;0;211,7;54,9;119;132,9;0;0
9;19,4;0;0;0;0;16,3;26;33,8;0;0;66;58,5;0;0;0;0
4;15,7;0;17,6;20;14;17,3;23;21,3;0;0;37,3;23,8;34,5;25,2;0;32
6;25,6;0;0;34,5;0;27,4;34;22,3;0;51;101,6;36,6;0;0;45;31
8;36,1;0;17,9;28;19;14,6;29;28,5;60,7;63;118,3;29,3;46;59,5;46;23
8;27;0;0;21,8;0;8,7;37;33,8;56;53;171,1;45,7;0;0;27;11
8;85,6;0;0;17,5;9;19,8;17;25,5;38,2;33;64,9;21,9;32;30,5;0;0
6;0;0;0;0;0;7,1;21;19,6;0;29;67;40,2;0;0;0;0
5;0;0;0;0;8;8,8;12;18,5;0;0;39,4;12,8;23;23,5;20;0
7;18,1;0;0;10,2;0;6,1;15;18,6;0;0;70,7;11;0;0;19;0
5;26,5;0;17,1;13,5;0;5,5;15;19,9;0;30;57,9;16,5;24;11,7;19;0
7;47,4;0;0;19,6;0;16,1;33;23,3;0;69;113,7;32,9;0;0;61;26
11;34,3;0;12,8;5,1;15;7,4;24;36,2;0;36;166;29,3;27;48,3;27;0
