Kod stacji;DsJelw05;DsLegZlotor;DsLubinMaj;DsNRudaSrebPArch;DsSwidRynekArch;DsWrocWie;KpCiechoTezniowa;KpSadlog;KpSwiecGruczno;KpSwiecKolejowa;KpTorunDziewulsk;KpWloclSielska;KpWolice;LbBialaPOrzechowa;LbDorohWIOS;LbLublinPiel;LbLublin_Sliwins_5;LbZamoscHrubieszowsk;LdKutnoWIOSMWilcza;LdLodzWSSEMWodna40;MpAndrycWSSEKrak1801;MpBochniWSSESoln0102;MpChrzanWSSEGrzy0301;MpKrakowWIOSAKra6117;MpKrakowWIOSPrad6115;MpKrakowWSSERPod6113;MpNoTargWSSESzaf1102;MpOswiecWSSEWiez1301;MpTarnowWSSEMosc6301;MpWielicWIOSNiep1904;MzCiechStrazacka;MzOstrolTargowa;MzWarszBernWoda;MzWarszKrucza;MzWarszZelazWSSE;OpKkozle243;OpOpole45p;OpPrud189p;PdBialyLegionowa8;PdLomzaKopernika16;PdSuwPulaski;PkJasloWIOSFlor;PkPrzemWIOSPDom;SkChecBiaZag;SkKielJagiel;SkOzarowMiec;SkOzarowOsWz;WmOlsztyWSSE_Zolnier;WpKonin31018;WpLeszno411000;WpPila5710111;WpPoznan63117;ZpGryfWiduchowa003;ZpSzczWSSESped6
37622;11,125;0;0;0;0;0;57,41;0;41;43;151;0;9,4;0;11,3;26;0;0;0;0;129;70;73;0;129;68;0;0;36;0;0;0;43;102,4;46;0;0;0;0;25,9;0;0;77;71;0;0;0;34,2;0;0;72;0;0;0
37623;3,917;30,3;12;0;0;0;0;0;21;22;95;0;6,5;0;0;21;0;0;0;31;28;10;43;0;95;68;0;39;16;0;0;0;34;32,9;33;14;23;40;0;0;0;0;0;29;0;0;0;62,2;0;0;33;39;0;0
37624;4,167;0;0;0;0;0;45,74;0;18;21;71;0;5,8;24;8,9;35;17,7;0;0;50;31;22;39;0;18;21;0;20;17;0;0;0;0;34,8;41;0;0;0;0;64,5;58,2;0;57;25;0;0;0;32;0;67;0;37;0;0
37625;11,583;0;0;0;0;0;0;0;23;23;91;0;0;0;0;59;40,8;0;0;66;38;29;39;64,833;50;21;0;45;21;0;0;0;0;60,4;58;0;47;0;0;0;0;0;0;34;0;0;28,2;27,1;59;0;0;48;0;0
37626;10,042;0;0;0;0;0;52,82;0;34;30;130;0;0;27;11,1;63;64,8;0;0;0;26;29;39;64;27;21;0;45;13;0;0;0;0;57,7;63;0;0;0;0;65,6;133,7;0;91;44;0;29,6;22,9;43,8;0;0;124;67;0;0
37627;20,583;48,3;0;0;0;64,6;0;0;52;47;115;0;9,1;0;0;47;36,1;208,7;0;59;65;43;41;73,545;48;30;0;27;16;0;0;0;0;38,4;57;0;0;0;0;0;0;0;0;46;0;21,2;0;56,4;0;0;0;50;0;0
37628;19,458;68,1;29;0;0;64,5;107,26;0;105;84;248;47,1;28,3;17;11,9;35;35,7;56,6;0;62;36;55;35;69,222;50;21;0;48;7;0;0;0;0;47,6;70;86;88;111;0;15,4;231,4;0;85;48;0;25,7;25,6;116,8;0;101;0;115;0;0
37629;22,667;117;63;0;0;134,1;0;0;138;114;409;0;33,1;0;0;100;59;157,9;0;119;174;120;74;0;65;63;0;58;46;0;164;0;0;76,8;164;0;0;0;0;0;0;0;0;97;0;23,5;36,2;62,6;0;0;0;249;0;7
37630;36,458;146,2;42;0;0;177,3;117,96;0;84;62;263;148;35,2;108;13,8;161;128,9;282,6;0;236;227;173;121;214,476;126;60;0;216;116;0;134;0;0;235,8;0;0;0;0;0;11,6;151,4;0;139;157;0;33,4;37;67,7;52;266;0;121;0;7
37631;25,542;0;25;0;0;64,8;0;0;27;20;115;0;5,8;0;0;201;123,6;141,8;0;106;219;103;140;188,208;127;50;0;74;24;0;61;0;0;194,6;83;0;0;0;0;0;0;0;0;146;0;44,2;44,9;28,1;58;0;0;51;0;0
