DsCzer02;DsDzia01;DsGlogNorw;DsGlogNorwArch;DsJelw05;DsJgGrottgeraPM;DsLegRzeczA;DsLegZlotor;DsLubinMaj;DsNRudaSrebPArch;DsOlawaSemi;DsPolkKasz;DsSwidRynek;DsSwidRynekArch;DsSzczKopPM;DsWalbWysPArch;DsWrocOrzech;DsWrocWie;DsZgorzBohA;KpBydgUjejskiego;KpBydgWPola;KpCiechoTezniowa;KpGrudzIkara;KpInowrSolan;KpKoniczZMSP;KpNakloPiotraSkargi;KpSadlog;KpTorunDziewulsk;KpTorunLotnisko;KpTorunSzpMiejski;KpWloclLady;KpWloclOkrzei;KpWolice;LbBialaPOrzechowa;LbBialaPPl.TrzechKrzyzy;LbChelmJagWIOS;LbChelmSzpWSSE;LbKrasnikKoszarowa;LbLeczna1000Lecia;LbLublinPiel;LbLublin_Sliwins_5;LbLublinSpokojna;LbLukowBrowarna;LbPulawySkowieszynska;LbRadzyPSitkowskiego;LbRejowiecFabrWIOS;LbTomaszowLubWIOS;LbZamoscHrubieszowsk;LbZamoscWSSE;LdLodzWIOSACzernik;LdLodzWIOSARubinst;LdLodzWSSEMLegiono;LdPabianWIOSAKonstan;LdRadomsWSSEMZeromsk;LdSieradWSSEMGrunwal;LdSkiernWSSEMReymont;LdZgierzWSSEMStRynek;LuGorzowWIOS_AUT;LuGorzowWSSE_1;LuZaryWSSE;LuZgoraWIOS_AUT;LuZgoraWSSE_1;MpBochniWSSEKons0105;MpChrzanWSSEGrzy0301;MpKrakowWIOSAKra6117;MpKrakowWIOSPrad6115;MpMaPodhWIOSKosc1508;MpMyslenWIOSRyne0906;MpNoTargWSSESzaf1102;MpNSaczWIOSPija6204;MpNSaczWSSETarn6202;MpOswiecWSSEWiez1301;MpProszWIOSKrol1404;MpSkawinWIOSOsie0606;MpTarnowWIOSSoli6303;MpTrzebiWIOSPils0303;MpWadowiWIOSPSka1805;MpWielicWIOSNiep1904;MzCiechStrazacka;MzLegionZegIMGW;MzOstMazSikorWSSE;MzOstrolTargowa;MzOtwockBrzozWSSE;MzPiaseczDworWSSE;MzPiastowPulask;MzPlockKolegWSSE;MzPruszKraszeWSSE;MzRadomCz;MzRadomCzWSSE;MzTluszczJKiel;MzWarszBernWoda;MzWarszKrucza;MzWarszSGGW;MzWarszZelazWSSE;MzWarZeganWSSE;MzWolOgrodowa;OpBrzeg101;OpGlub1pyl;OpKlucz227;OpNamys2pyl;OpOlesno3pyl;OpOpole246;OpZdze12392;PdBialyLegionowa8;PdLomzaSikorskiego;PdSuwPulaski;PkDebicaWSSEParkow;PkJarosWIOSJanPawII;PkJarosWSSE3Maja;PkJasloWIOSFabr;PkJasloWIOSFlor2;PkKrosnoWIOSKletowki;PkKrosnoWSSEKisielewskiego;PkNiskoWIOSSzklar;PkPrzemWIOSPDom;PkPrzemyslWIOSMick;PkRzeszWIOSSzop;PkRzeszWSSEPilsud;PkRzeszWSSEWierzb;PkSanokWSSEJezier;PkTarnobWSSE1Maja;Pm.00.s237m;Pm.00.s481m;Pm.06.s712m;Pm11WLADw07m;Pm14TCZEw06m;Pm.63.s079m;Pm.63.wDSMm;Pm.D;SkBuskoWios;SkKielJagiel;SkKielJagielWios;SkKielKusoc;SkOzarowMiec;SkOzarowOsWz;SkPolanTrzc;SlBielbBiel_kossa;SlCieszCies_dojaz;SlCzestCzes_baczy;SlDabroDabr_1000L;SlKatowKato_kossu;SlLubliLubl_piask;SlMiastMias_norwi;SlRacibRaci_studz;SlRybniRybn_borki;SlWodziWodz_bogum;SlZabrzZabr_sklod;SlZawieZawi_zawie;SlZywieZywi_koper;WmDzialdWSSE_Biedraw;WmElblagWSSE_Krole;WmOlsztyWSSE_Zolnier;WmPuszcz_IOS_Borecka;WpGnieznoPM10;WpLeszno411000;WpOstrowWlkpPM10;WpPila5710111;WpPoznanPM10szpital;WpPoznanSzymanowskiego17;ZpGryfWiduchowa003;ZpKoszalinWSSE;ZpSwinoujscieWSSE;ZpSzcSzczecinekPSSE;ZpSzczecin002;ZpSzczecinWSSE
18;32;0;0;0;0;0;0;0;0;0;0;53;53;33,5;27;0;0;56;0;62;0;0;20;0;48;35,937;0;52;0;0;0;22,2;49;59;29,3;24,3;0;55,6;0;56,2;0;0;0;37;0;51,5;50;51;39;42;39;59;39;37;42;62;43,667;0;28,3;39;35,2;60;0;0;60,458;0;0;0;129,417;0;0;0;119;98;121,542;0;0;60;0;0;0;46;53;0;0;0;39;39;0;0;54,9;0;30;0;0;41;41;0;47;49;0;0;58;43,542;27,333;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;49;47;60;0;23;37;0;70;52;52;0;0;0;29;141;0;0;77,4;83;0;23;0;255;0;98;98;0;78,3;0;33,8;26,63;33;26;0;34,5;30;0;8,7;0;0;53;20,9;0
27;36;0;0;0;0;0;24,7;22;0;0;0;57;57;35,7;39;0;23,9;50;0;51;0;0;28;0;46;21,848;41;23;0;0;39,7;27,2;26;88;42,5;41,4;0;31,4;31,9;23,8;35,2;0;27,9;44;0;35,3;26,7;30,5;30;26,208;33;41;40;28;24;56;44,458;31,3;25,3;38;30,1;56;39;0;31,417;0;20;0;38,625;60;0;0;51;38;43,417;0;75;24;0;0;27,2;33;34;0;38;0;28;28;0;0;28,1;0;29;0;0;0;31;43;46;47;25;16,8;25;21,667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;17;14;8;41;15;0;25;44;0;20;30;30;0;22;19;26;61;0;34;19;32;17;10;0;45;0;37;37;60;23,9;3,4;11,7;12,11;37;33;24;39,9;36;0;24,7;18;17;18;22,7;22
18;29;0;0;0;10;0;36,5;37;0;0;0;83;83;56,3;61;0;39,2;77;0;49;0;0;21;0;68;23,881;49;22;25;7;0;23,6;33;74;36,8;29,5;0;54,7;25;27,6;42,3;0;23,6;34;0;34,1;35;30,8;62;33,375;37;39;41;29;32;55;46,458;40,3;23,4;38;35,2;60;46;115,958;45,083;0;19;0;74,5;202;0;0;62;0;56,667;0;109;34;0;0;16,3;21;27;0;37;0;35;35;0;0;31,4;16;24;0;0;48;40;54;48;60;36;0;21;29,087;0;43;0;0;0;51;0;32;0;0;0;0;35;34;30;20;17;15;38;21;37;23;52;14;25;36;36;0;41;22;27;118;0;26;36,3;50;104;23;66;52;48;62;62;249;31;14;20,5;18,15;41;35;32;58,3;0;0;29,3;25;23;25;32,5;35
15;33;0;0;0;20;0;36,4;46;153;0;0;105;105;70,2;42;0;66,2;117;0;49;0;0;19;0;92;22,604;68;20;20;9;49,6;29,8;39;60;42,6;17,4;46,9;35,2;36,4;25,9;39;0;27;39;0;29,3;28,3;32,9;32;34,792;38;39;36;30;0;49;50,042;40,3;70,2;39;49,1;84;49;129,375;44,792;280;30;35;173,667;0;59;36;59;0;50,042;76;0;29;0;0;35,5;22;29;0;35;0;33;33;0;0;27,7;17,8;40;19;0;59;49;65;39;53;83;0;26;33,333;0;31;42;32;38;46;0;39;59,6;59;0;48,3;31;31;42;0;0;21;41;20;43;26;58;20;25;41;41;0;33;29;27;144;0;26;30,9;61;48;21;147;79;122;65;65;325;14,4;16,6;20,2;16,84;52;34;37;40,3;37;59;28,9;24;20;28;31,3;38
20;46;0;0;0;23;42,3;32,8;45;177;0;56,2;44;44;47;30;0;51,1;52;0;62;0;0;12;0;111;37,07;0;27;25;13;0;0;32;52;25,5;24,4;42,5;37,7;38,8;25,5;44,7;0;29,3;37;0;34,8;34,2;38,6;35;44,75;40;40;33;42;0;46;0;54,9;22,5;51;50,1;85;81;162,5;83,167;91;30;30;29,958;0;125;36;64;29;66,042;99;0;37;0;0;32,4;29;40;0;45;36;35;35;0;0;31,4;19,7;53;25;0;0;36;56;42;61;32;0;25;45,208;0;39;43;42;22;19;0;0;72,1;78;0;75,7;49;50;0;32;34;0;40;29;43;31;74;31;31;37;37;0;37;28;37;53;0;50;64,3;80;40;0;144;238;179;172;172;22;39,9;22,1;17,5;20,72;59;60;33;42,5;48;47;36,9;39;40;46;44,2;50
9;31;0;0;0;19;47,8;25,5;27;82;0;35,1;43;43;45,5;27;0;35,1;46;0;91;0;0;15;0;26;48,523;0;43;32;31;59,5;0;33;43;64,9;25,9;44,4;35,7;37,1;30,4;46,2;0;44,5;46;37,9;37,3;34,2;43,9;30;32,708;38;45;26;24;0;54;0;58,1;26,1;35;21,3;51;62;84,375;49,625;38;26;21;21,167;0;64;50;63;20;60;46;0;57;0;0;39,8;21;48;0;64;48;40;40;0;0;31,7;14,9;38;36;0;0;33;32;49;36;32;0;33;35,333;0;20;51;0;14;0;0;0;71,7;101;0;28,5;16;11;0;32;0;0;64;54;58;53;107;39;17;21;21;0;29;40;64;12;0;0;64,4;55;14;0;10;54;41;64;64;10;53,2;31,1;30,6;22,01;67;59;32;54,4;72;30;0;37;29;46;41,6;44
17;25;0;0;0;17;38,9;31;0;117;0;27,5;40;40;48,9;23;0;35,3;29;0;39;0;0;16;0;20;28,996;38;44;45;35;0;14,9;43;88;47,6;73,8;42,5;46,8;36;32,1;46,4;0;49,1;0;16,7;58,4;44,6;58,7;37;38,75;40;66;34;26;43;54;0;49,9;16,6;24;23,7;49;63;75,208;59,708;90;18;43;80,417;104;50;31;49;42;61,958;41;0;67;0;55;59,2;20;62;0;47;38;47;47;0;0;49,1;26,2;44;48;0;39;29;47;53;32;43;22,4;26;56,958;0;27;46;39;17;39;0;0;66,7;115;0;40,1;25;21;8;24;33;0;50;64;77;33;63;17;33;47;47;0;28;33;78;23;0;0;48,8;48;13;18;16;49;56;57;57;24;55,9;40,1;42;30,08;71;29;0;34,5;36;0;14,9;14;15;38;25,8;25
16;20;0;0;0;19;35,8;36,6;33;136;0;30,7;39;39;41,1;18;0;44,1;32;0;34;0;0;19;0;63;12,35;47;22;35;7;40,2;25,1;74;95;45,7;50,1;48,9;44,3;35,9;36,3;46,6;0;55,3;45;34,6;28,3;40,4;29,2;42;25,5;43;63;63;30;53;65;25,875;43,5;27,8;19;25,2;53;107;85,208;69,375;101;34;73;63,417;0;152;46;46;50;80,75;31;0;42;0;42;91,4;59;48;0;31;41;43;43;0;0;36,1;28;53;37;0;39;37;52;60;37;53;0;35;46,917;32,476;29;0;27;21;41;0;23;57,2;36;0;32,6;27;21;14;28;15;21;17;17;35;21;54;14;57;57;57;0;31;28;34;36;0;0;67,7;42;15;27;27;56;120;85;85;80;40,8;45,5;19,2;24,91;50;43;0;27,5;44;53;11,3;16;14;29;21,3;28
8;27;0;0;0;23;35,4;20,1;29;163;0;46,2;40;40;50,8;19;0;41,2;32;0;47;0;0;20;0;78;32,052;52;43;22;27;0;32,7;53;62;48,6;38,2;32,8;40,2;48,9;28,2;30,9;0;35;49;22,9;47;34,2;47,2;36;41,208;37;64;29;30;33;61;60,792;62,3;24,6;32;33,7;52;98;185,083;138,2;81;30;94;96,667;61;71;48;136;27;84,292;42;0;54;0;43;48,8;59;40;0;39;42;36;36;0;0;42,5;0;39;33;0;54;32;30;33;39;23;0;37;43,478;0;20;0;34;13;0;0;16;26,7;48;0;23;20;18;15;21;31;36;47;70;66;30;125;38;45;41;41;0;17;26;52;12;0;62;54;51;9;21;16;66;56;69;69;12;44,6;36,8;37;37,17;51;28;31;44,7;51;46;0;22;13;44;26;33
7;25;0;0;0;11;52,8;32,7;47;166;0;48,8;43;43;46,9;20;0;35,6;43;0;45;0;0;16;0;65;28,123;45;44;34;31;49,6;31,6;57;71;56,8;44,4;42,9;41,1;34,4;26,6;42,6;0;50;49;33,8;31,9;30,8;34,5;43;35,583;41;95;47;32;51;56;60,238;74,5;37,2;32;25,3;78;194;183,667;143,833;157;70;84;52,25;109;208;72;158;34;120,167;164;0;68;0;38;52,5;68;56;49;45;45;48;48;0;42;62,4;24,4;38;45;0;47;36;43;60;39;33;0;36;44,708;0;30;0;26;29;39;0;30;43,9;54;0;21;33;26;21;22;22;29;31;31;56;24;55;19;57;60;60;0;28;39;123;37;0;39;89,6;52;18;25;19;213;57;69;0;38;49,4;35;32,8;34,6;60;50;40;44,3;47;53;16,4;11;17;39;25,6;25
