DsWrocKorzA;LbLublinPiel;LdLodzWSSEMLegiono;MpKrakowWIOSBulw6118;MpKrakowWIOSPrad6115;Pm.63.wDSMm;SlKatowKato_kossu;SlZabrzZabr_sklod;SlZoryzZory_sikor
0;0;0;55,875;50,167;0;0;66,48;0
0;23,6;0;37,875;24,417;0;0;29,88;0
0;18,6;0;57,583;34,875;0;0;48,29;0
0;16,7;0;53,25;32,375;0;0;47,61;0
0;0;0;59,375;53,708;0;0;135,6;0
0;0;0;0;37,083;0;0;54,94;0
0;30,4;0;0;46,333;0;0;0;0
0;31,6;0;43,875;55,25;0;0;0;0
0;15,9;0;85,45;112,25;0;0;0;0
0;20,8;0;114,5;116;0;0;56,79;0
0;23,2;0;138,875;128;0;0;74,54;0
0;0;0;50,375;57;0;0;50,94;0
0;0;0;83,042;66,167;0;0;80,52;0
0;44,1;0;97,167;93,458;0;0;91,69;0
0;26,7;0;141,167;175;0;0;65,9;0
62,5;25,7;0;19,708;42,542;32;0;51,98;0
22,5;26;0;69,708;90,5;47;0;90,65;0
9,4;25,2;0;78,833;76,625;20;0;55,54;0
14,3;0;0;41,708;41,417;9;0;20,5;0
7,7;0;0;16,583;16,542;22;0;21,9;0
7,9;9,1;0;8,708;6,583;13;0;8,9;0
16,7;8,2;0;6,75;8,25;15;0;9,77;0
18,3;22,1;0;22,75;29,958;19;0;41,79;0
11,4;18,7;0;49,583;56,583;14;0;0;0
15,5;10,5;0;32,583;26,667;12;0;14,6;0
6,2;0;0;15,875;15,583;10;0;24,44;0
38,9;0;0;8,167;8,042;11;0;10,93;0
25,6;27,6;0;29,042;30,667;13;0;59,54;0
28,5;48,9;0;77,75;92,583;23;0;109,55;0
11,1;28,6;0;88,917;84,208;16;0;63,41;0
14,3;19,7;0;48,083;47,583;10;0;51,57;0
10,1;24,4;0;32,292;47,167;7;0;46,02;0
19,9;0;0;39,958;52,25;8;0;31,3;0
29,5;0;0;35,458;40,208;25;0;71,85;0
35,5;20,3;0;36,792;34,75;40;0;48,24;0
10;41,9;0;95,25;106,333;22;0;107,13;0
7,7;15,6;0;101,167;78;10;0;32,5;0
24,3;9,6;0;14,25;16,583;12;0;8,43;0
42,8;42,6;0;30,5;42,417;20;0;57,59;0
55,4;0;0;49,5;53,167;36;0;239,34;0
74,2;0;0;43,375;39,25;33;0;0;0
93,7;51,5;0;81,625;75,667;15;0;0;0
57;97,9;0;153,417;134,458;21;0;165,24;0
19;53,6;0;110,458;115,75;24;0;98,12;0
9,1;13,5;0;41,958;43,042;9;0;172,96;0
17,8;12;0;11,958;17,917;8;0;22,31;0
19,1;0;0;13,583;18,708;20;0;21,95;0
23,6;0;0;37,375;46;18;0;81,48;0
19,4;21,7;0;38,583;38,917;22;0;42,74;0
