DsWrocKorzA;LbLublinPiel;LdLodzWSSEMLegiono;MpKrakowWIOSBulw6118;MpKrakowWIOSPrad6115;MpTarnowWIOSSoli6303;MzPlockReja;MzRadomTochter;MzWarszUrsynow;Pm.63.wDSMm;SlKatowKato_kossu;SlZabrzZabr_sklod;SlZoryzZory_sikor;WmPuszcz_IOS_Borecka
48,7;0;57;66,083;60,333;0;0;0;80,5;0;0;58,61;45;40,38
38,6;58;48;64,542;67,375;0;29,7;43,4;50,4;22;0;37,78;52;7,65
24,8;0;29;49,25;49,5;0;19,8;21,7;41,3;4;0;48,7;32;10,74
37,5;0;40;36,625;33,833;0;13,5;35,7;20,3;24;0;78,89;52;5,46
50,2;32,6;56;54,25;55,458;0;36;51,1;11,2;57;0;93,06;59;25
63,7;30,7;114;70,5;80,708;0;89,1;137,2;29,4;12;0;149,91;140;31,67
128;48,9;61;107,917;118,458;0;60,3;54,6;102,2;18;0;0;114;22,51
44,2;38,7;65;63,125;73,958;0;33,3;37,1;56,7;30;0;114,63;78;11,32
139;26,5;50;108,875;114,208;0;27;25,9;35,7;20;0;78,52;54;7,74
63,7;0;74;69,25;72,333;0;55,8;37,1;24,5;15;0;0;118;8,2
111;0;65;81;99,5;0;58,5;49,7;42,7;24;0;0;99;31,24
108;39,2;50;147,042;195,125;0;63,9;64,4;38,5;35;0;0;40;52,89
106;57,6;74;179,667;207,125;0;62,1;33,6;55,3;36;0;106,39;53;58,32
128;106,5;95;188,542;194,042;0;140,4;128,1;117,6;48;0;149,94;75;104,77
58,9;65,6;80;91,875;100,167;0;105,3;56,7;80,5;37;0;0;109;38,07
53,8;49,8;50;43,542;52,667;0;24,3;32,2;24,5;21;0;67,87;63;5,68
87,7;56,5;61;85,042;87;0;36;60,2;44,1;23;0;159,26;139;5,5
66,2;43,1;78;105,208;115,833;0;60,3;70;46,2;53;0;98,7;66;17,48
29,2;29,5;44;64,125;66,042;0;51,3;35,7;32,9;31;0;77,22;34;34,2
67;21,1;66;55,042;68,667;0;52,2;33,6;35,7;36;0;259,35;92;30,65
76,6;30,8;68;85,167;87,292;0;77,4;43,4;44,8;43;0;186,73;126;28,9
40,2;39,4;35;88,667;84,75;0;43,2;38,5;33,6;26;0;72,31;118;15,87
51,4;27,3;37;85,708;83,833;0;37,8;37,1;37,1;28;0;85,93;63;13,96
29,8;37,1;45;66,458;71,542;0;39,6;39,2;39,9;25;0;85,95;56;16,2
61,9;58;71;122,042;118,458;0;29,7;60,9;49;31;0;222,31;153;15,95
60,8;52,1;48;77,75;77,583;0;59,4;70;65,1;38;0;83,52;54;15,87
58,2;22,4;41;48,292;47;0;39,6;0;33,6;51;0;63,06;48;12,36
36,4;10,8;28;30,25;31,375;0;19,8;0;14;37;0;25,28;42;9,39
23,6;26;39;24,167;27,625;0;24,3;0;11,2;41;0;26,94;29;13,21
40,2;36,2;28;29,167;30,042;0;19,8;0;23,1;14;0;45,65;51;6,95
23,8;0;31;37,875;34,25;0;9,9;0;28;7;0;42,96;48;13,07
31;0;23;33,708;25,292;27;16,2;0;10,5;14;0;43,24;39;14,92
36,8;21,9;27;44,958;33,083;33;19,8;0;11,2;8;0;54,26;42;27,72
50,7;18,1;0;49,458;39,25;29;19,8;0;11,2;16;0;60,28;53;8
98,9;52,5;0;99,875;109,208;66;39,6;34,3;37,1;40;0;0;160;30,74
83,3;39,5;55;131,083;114,083;88;83,7;51,1;42;33;0;112,04;113;45,08
77,8;39,9;47;86,417;107,833;32;31,5;24,5;32,9;29;73;90,56;57;32,34
45,9;0;33;36,5;43,125;24;29,7;15,4;19,6;28;24;19,63;17;22,53
28;0;29;50,333;52,208;33;31,5;51,1;18,9;6;57;43,98;36;16,78
37,7;24,2;51;37,083;41,458;35;36;51,1;16,8;19;61;60,19;69;16,44
34,2;9,4;0;48,25;71,75;42;26,1;15,4;24,5;23;53;78,43;55;17,75
18,3;14,6;0;15,833;15,583;25;9,9;30,8;11,2;28;22;8,43;22;16,6
17,5;23,6;0;23,958;25,708;22;21,6;26,6;15,4;11;32;20,93;34;16,17
20,6;15,4;0;26,833;27,75;33;19,8;44,8;16,8;6;0;20,19;35;13,52
