DsCzer02;DsDzia01;DsLegRzeczA;DsLegZlotor;DsOlawaSemi;DsOsieczow;DsPolkKasz;DsSzczKopPM;DsWrocWie;DsWrocWisA;DsZgorzBohA;KpBydgUjejskiego;KpBydgWPola;KpCiechoTezniowa;KpGrudzIkara;KpInowrSolan;KpInowrSolankowa;KpKoniczZMSP;KpNakloPiotraSkargi;KpNakloSkargi;KpPiech;KpSadlog;KpTorunDziewulsk;KpTorunSzpMiejski;KpWloclLady;KpWloclOkrzei;KpWloclSielska;KpWolice;KpZielBoryTuch;KpZninPotockiego;LbBialaPOrzechowa;LbChelmJagWIOS;LbKrasnikKoszarowa;LbLublin_Sliwins_5;LbLukowBrowarna;LbPulawySkowieszynska;LbRadzyPSitkowskiego;LbRejowiecFabrWIOS;LbTomaszowLubWIOS;LbZamoscHrubieszowsk;LdKutnoWIOSMWilcza;LdLodzWIOSARubinst;LdLodzWSSEMRudzka;LdOpocznWIOSMPlKosci;LdPabianWIOSMKilinsk;LdPiotrkWIOSMSienkie;LdRadomsWSSEMZeromsk;LdSieradWSSEMGrunwal;LdSkiernWSSEMReymont;LuGorzowWIOS_AUT;LuGorzowWIOS_MAN;LuZaryWIOS_MAN;LuZgoraWIOS_AUT;MpBochniWSSEKons0105;MpGorlicWIOSKras0511;MpGorlicWSSELegi0501;MpKrakowWIOSBuja6119;MpKrakowWIOSBulw6118;MpKrakowWIOSPrad6115;MpMaPodhWIOSKosc1508;MpNSaczWIOSNadb6205;MpNSaczWIOSPija6204;MpProszWIOSKrol1404;MpTarnowWIOSBitw6304;MpTrzebiWIOSPils0303;MpTuchowWIOSSzop1602;MpWadowiWIOSPSka1805;MpWielicWIOSNiep1904;MpZakopaWIOSRown1701;MzCiechStrazacka;MzGranicaKPN;MzLegionZegIMGW;MzMlawaOrdona;MzOstrolTargowa;MzOtwockBrzoz;MzPiastowPulask;MzTluszczJKiel;MzWarszBernWoda;MzWarszKrucza;MzWarszSGGW;MzWolOgrodowa;OpGlub1pyl;OpKlucz2pyl;OpNamys2pyl;OpOlesno3pyl;OpOpole4pyl;PdBialyMiejska;PdLomzaSikorskiego;PdSuwPulaski;PkJarosWIOSJanPawII;PkJasloWIOSFlor2;PkJasloWIOSSikorskiego;PkKrosnoWIOSKletowki;PkMielWIOSZarzStr;PkNiskoWIOSSzklar;PkPrzemWIOSPDom;PkPrzemyslWIOSMick;PkRzeszWIOSSzop;Pm.00.s237m;Pm.00.s481m;Pm.06.s712m;Pm11WLADw07m;Pm.15.s129m;Pm.63.wDSMm;Pm.63.wDSPm;Pm.AM12.a;Pm.aw07m;Pm.aw08m;Pm.D;SkBuskoWios2;SkKielJagielWios;SkKielKusoc;SkOzarowMiec;SkOzarowOsWz;SkPolanTrzc;SlBielbBiel_kossa;SlCieszCies_13mic;SlCzestCzes_baczy;SlDabroDabr_1000L;SlGodowWodz_wodzi;SlKatowKato_kossu;SlKnuroKnu1_gliwi;SlLubliLubl_piask;SlMyszkMysz_myszk;SlPszczPszc_boged;SlRacibRaci_studz;SlRybniRybn_borki;SlTarnoTarn_litew;SlZabrzZabr_sklod;SlZawieZawi_zawie;SlZoryzZory_sikor;SlZywieZywi_koper;WmElblagWIOS_Bazynsk;WmNidzicaWIOS_Traugut;WmOlsztyWIOS_Puszkin;WmPuszcz_IOS_Borecka;WpGnieznoPM10;WpLeszno411000;WpOstrowWlkpPM10;WpPila5710111;WpTarnowoPodgornePM10/10;WpWagrowiecPM10/10;WpWKPKalisz007/10;ZpGryfWiduchowa003;ZpKoszalin006;ZpSzcSzczecinek008;ZpSzcSzczecinek009;ZpSzczecin001;ZpSzczecin002;ZpSzczecin004
25;34;70,6;29,2;0;37;50,2;0;62;84,2;72;0;34;0;0;27;27;0;17;17;9,5;10,1;0;35;0;59,3;0;1,8;13,3;0;0;0;44,4;0;32;0;16;25,5;14;29,1;136;59,4;0;0;68;0;0;0;0;46,958;0;0;32;0;40;40;0;81;100;175;0;0;83;0;81;118;143;93;46;25;27,5;0;30;14,3;0;0;0;0;28;0;39,2;58;0;60;0;56;14;0;12,386;63,2;47,7;45,5;44,6;47,9;67,7;63;55;63,9;0;0;0;20;0;49;0;0;0;75,1;0;0;0;53,2;0;0;32;120;0;0;61;119;88;93;0;0;108;0;0;0;73;0;0;0;0;16,2412;0;11,99;0;34,5;0;14,9;23,5;0;0;50,8;27,6;38,5;15,2;0;22,1;12
12;17;41,3;12,7;0;19;23,9;0;42,2;100,7;29;0;36;0;0;28;28;0;20;20;0;12;0;47;0;0;0;0;7,6;0;0;0;49,2;0;47;0;24;19,7;15;26,6;84;53,6;0;0;78;0;0;0;0;35,125;0;0;37;0;44;44;0;59;58;82;0;0;52;0;62;85;0;59;41;18;32,6;23,7;0;18,9;0;0;30,9;29,2;25;0;0;75;0;45;0;33;14;0;10,996;36,3;54;49,7;59,5;50,7;72,2;41,1;50;55,5;0;0;0;12;0;31;0;0;0;9,4;0;0;0;50,1;36;34;28;11;0;0;39;50;42;41;0;0;49;0;0;0;16;0;0;0;0;16,065;0;16,59;0;34,5;0;13,7;14,6;0;0;34,7;16,9;25;18,1;0;27,7;16,7
13;35;63,1;7,3;0;16;27;0;23,1;41,4;59;0;62;0;0;37;37;0;66;66;0;24,267;0;34;0;0;0;0;17,8;0;0;0;41,9;0;50;0;45;29,1;16,1;26,7;142;50,8;0;0;78;0;0;0;0;99,833;0;0;22;0;36;36;0;43;52;74;0;0;52;0;67;50;73;50;63;100;34,2;76,7;0;91,1;0;0;0;29,2;22;0;0;0;0;27;0;30;47;0;39,958;37;40,6;33,8;50,3;34,9;45,7;39,6;45,3;34,1;0;0;0;24;0;35;0;0;0;29,8;0;0;0;42,6;32;23;30;36;0;22;28;51;39;38;0;0;44;0;0;0;10;43;0;0;0;38,9929;0;16,53;0;35,7;0;37;31,6;0;0;27;16;38;29,4;0;91;25
15;63;77,5;33;0;60;54,4;0;89,8;107,7;162;0;53;49,4;0;0;0;40;105;105;25,7;31,971;58;42;0;56,6;81,9;8,7;19,8;0;0;77,3;85,7;0;126;0;127;48,3;34,4;75,9;72;102;0;0;106;0;0;0;0;61,083;0;0;53;0;80;80;0;137;143;146;0;0;128;0;107;78;58;126;151;79;0;107,6;0;57,9;0;0;0;73;61;0;0;0;0;62;0;104;0;0;56,987;77,5;71,3;96,2;76;81,4;10,1;82,1;73;70,6;0;0;0;11;0;20;0;0;0;22,7;0;0;0;60,4;61;99;68;67;0;78;62;148;93;124;0;0;182;0;0;0;99;62;0;0;0;40,0764;0;35,11;0;98,4;0;34,1;0;0;0;15,5;18,7;28,5;37,9;0;26,3;18
22;39;115,2;70;130,2;106;94,8;0;162,8;162,5;82;33;59;72,4;0;39;39;76;102;102;48,7;38,821;82;25;0;95,3;0;28,4;34;51;42;54,6;66;0;82;0;116;0;47,1;78,3;37,5;157;0;0;141;0;0;0;0;109,917;0;0;74;0;71;71;0;138;116;105;0;0;165;0;62;137;83;109;0;30;0;78,6;0;59,6;0;0;0;77;83;0;0;0;0;98;0;73;65;0;62,746;60,4;57,7;59,3;67,2;63,5;134;142,4;101,7;72,9;0;0;0;0;0;31;0;0;0;44,2;0;0;0;85;54;73;60;58;0;48;56;122;79;120;0;0;172;0;92;0;89;58;0;97;0;48,7383;0;40,99;0;117,3;0;60,4;0;0;0;29,6;34,2;58,5;62,4;38,2;41;41,7
61;69;131,4;74,6;86,2;126;129,9;0;91,5;114,5;120;32;59;46;0;0;0;60;51;51;40,6;47,608;86;29;0;62,8;35,1;26,2;49;0;36;36,3;53,4;0;43;0;31;24,3;18,4;42,9;31;92;0;0;108;0;0;0;0;220,455;0;0;130;0;95;95;0;131;107;396;0;0;94;87;92;129;144;103;171;43;75,8;58,4;0;29,3;0;62,2;0;47,4;62;0;0;0;0;80;0;66;32;0;20,111;77,9;91,8;93,6;84,1;65,5;71,1;92,9;77,4;75,8;0;0;0;33,5;0;48;0;0;0;49,6;47;0;0;70;49;45;46;130;0;186;59;135;84;97;0;0;130;192;132;0;70;64;0;205;0;56,3135;0;32,46;0;117;0;72,1;0;0;0;98,1;51,6;63;51,9;90,2;85;78,5
25;34;140;38,5;110,5;55;67,1;0;99,3;137,7;88;41;71;0;0;0;0;78;26;26;46,7;48,671;96;40;0;74,4;0;34,2;57,8;99,6;96;92,1;116,9;74,1;89;0;76;52,8;43,2;109,5;29,8;154;0;0;187;0;0;0;0;169,783;0;0;57;0;146;146;0;0;191;0;0;0;234;120;185;132;208;203;53;117;92,9;73;0;72,2;0;87,7;0;71,2;78;0;0;81;0;128;66;96;53;73,408;40,479;129;143,7;147,7;108,8;112,5;174,8;118,1;119,7;132,8;0;0;0;44,6;0;74;0;0;0;75,4;70;0;0;103,1;87;135;127;116;0;108;135;167;164;180;131;0;174;179;195;115;204;127;0;218;0;63,5401;0;43,12;0;91,7;0;87;0;0;0;70,3;88,3;83,5;88,5;84,9;94,5;85,5
35;71;119;60;108,4;83;91,6;0;75,5;242,7;108;31;65;0;0;39;39;94;95;95;49,5;47,775;122;35;0;68,6;0;22,6;54,6;0;119;63,2;104,1;110,3;102;0;128;96,5;22,7;67,6;28;126;0;0;137;0;0;0;0;118,458;29,6;0;57;0;58;58;0;0;90;200;0;0;117;94;67;173;109;116;83;45;99,8;60,2;0;76,7;0;105,9;34,6;84;48;0;0;140;0;98;48;93;71;100,092;97,982;101,8;0;75;39,3;94,1;116,4;113,8;98,1;100,2;0;0;0;23,9;0;85;0;0;0;95;43;0;0;127,4;66;77;47;128;0;86;139;159;152;182;154;0;112;86;193;95;154;115;0;148;0;89,3508;0;77,4;0;51,8;0;69,8;0;0;0;80,2;70,6;75,8;53;69;74;58,6
36;59;61,6;31,2;39,3;40;57,8;71,5;46,3;62,5;68;10;48;0;0;31;31;0;98;98;0;32,779;0;54;0;0;0;0;30,6;0;30;25,6;24,6;21,6;24;0;28;14,1;2,5;12,6;58;53,4;0;0;44,5;0;0;0;0;67,042;17,4;0;50;0;32;32;0;62;25;117;0;0;34;30;17;94;39;30;140;69;40,7;36,4;0;24;0;40,2;35,6;34,7;59;0;0;52;0;39;34;29;32;33,796;31,017;22,5;0;34,1;25,8;15;20,3;52,3;28;28,2;0;0;0;5;0;18;0;0;0;24,5;6;8,1472;0;22,9;8;9;12;46;0;23;13;43;27;27;5;0;33;53;63;23;31;5;0;153;0;38,9847;0;29,29;0;49,1;0;59;0;0;0;45;17;27,8;17;18,2;22,1;18,1
21;29;43;20,2;49,4;23;32,4;39,5;29,2;39,4;40;18;45;0;0;9;9;0;182;182;0;15,625;0;37;0;0;0;0;12,5;66,4;9;43,5;16,1;7,5;0;0;10;4,2;5,1;2,5;40;36;0;0;27,2;0;0;0;0;48,208;8,7;0;32;0;32;32;0;35;34;63;0;0;29;0;42,042;39;34;32;68;79;20;20,1;0;19;0;23,7;27,6;16,4;27;0;0;39;0;24;86;18;10;18,192;7,854;26,1;39,1;35,3;36,8;10,8;13,5;50,9;36,4;24,5;0;0;0;5;34;15;0;0;0;14,6;6;11,6736;0;16,2;13;11;13;34;0;14;23;51;32;29;53;0;42;43;40;22;35;24;0;95;0;12,4534;0;10,96;0;52,6;0;26,2;0;0;0;47,3;11,7;15,2;18,1;14,2;16,4;13,9
